tag,tag_num,人员,,,,,,,,,,,,,,,,,,,,,,
美食,42624,雪峰,,,,,,,,,,,,,,,,,,,,,,
搞笑,39038,雪峰,,,,,,,,,,,,,,,,,,,,,,
生活,28666,雪峰,,,,,,,,,,,,,,,,,,,,,,
vlog,27077,雪峰,,,,,,,,,,,,,,,,,,,,,,
日常,18499,雪峰,,,,,,,,,,,,,,,,,,,,,,
日本,18450,雪峰,,,,,,,,,,,,,,,,,,,,,,
funny,16994,雪峰,,,,,,,,,,,,,,,,,,,,,,
旅行,15942,雪峰,,,,,,,,,,,,,,,,,,,,,,
中国,14483,雪峰,,,,,,,,,,,,,,,,,,,,,,
food,14201,雪峰,,,,,,,,,,,,,,,,,,,,,,
美妆,14097,雪峰,,,,,,,,,,,,,,,,,,,,,,
健康,13948,雪峰,,,,,,,,,,,,,,,,,,,,,,
电影,13817,雪峰,,,,,,,,,,,,,,,,,,,,,,
料理,13747,雪峰,,,,,,,,,,,,,,,,,,,,,,
tutorial,12317,雪峰,,,,,,,,,,,,,,,,,,,,,,
影评,12278,雪峰,,,,,,,,,,,,,,,,,,,,,,
how to,12033,雪峰,,,,,,,,,,,,,,,,,,,,,,
遊戲,11659,雪峰,,,,,,,,,,,,,,,,,,,,,,
吃播,11376,雪峰,,,,,,,,,,,,,,,,,,,,,,
台灣,11313,雪峰,,,,,,,,,,,,,,,,,,,,,,
開箱,10978,雪峰,,,,,,,,,,,,,,,,,,,,,,
分享,10712,雪峰,,,,,,,,,,,,,,,,,,,,,,
教學,10706,雪峰,,,,,,,,,,,,,,,,,,,,,,
美女,10535,雪峰,,,,,,,,,,,,,,,,,,,,,,
游戏,10362,雪峰,,,,,,,,,,,,,,,,,,,,,,
手游,9825,雪峰,,,,,,,,,,,,,,,,,,,,,,
travel,9811,雪峰,,,,,,,,,,,,,,,,,,,,,,
吐槽,9315,雪峰,,,,,,,,,,,,,,,,,,,,,,
娱乐,9258,雪峰,,,,,,,,,,,,,,,,,,,,,,
2020,9113,雪峰,,,,,,,,,,,,,,,,,,,,,,
香港,8933,雪峰,,,,,,,,,,,,,,,,,,,,,,
dance,8658,雪峰,,,,,,,,,,,,,,,,,,,,,,
旅遊,8581,雪峰,,,,,,,,,,,,,,,,,,,,,,
電影,8537,雪峰,,,,,,,,,,,,,,,,,,,,,,
VLOG,8337,雪峰,,,,,,,,,,,,,,,,,,,,,,
japan,7850,雪峰,,,,,,,,,,,,,,,,,,,,,,
beauty,7590,雪峰,,,,,,,,,,,,,,,,,,,,,,
アニメ,7490,雪峰,,,,,,,,,,,,,,,,,,,,,,
手工,7252,雪峰,,,,,,,,,,,,,,,,,,,,,,
直播,7087,雪峰,,,,,,,,,,,,,,,,,,,,,,
實況,6991,雪峰,,,,,,,,,,,,,,,,,,,,,,
動画,6983,雪峰,,,,,,,,,,,,,,,,,,,,,,
中文,6921,雪峰,,,,,,,,,,,,,,,,,,,,,,
